text,label
IT Helpdesk here. Confirm your login details within 24 hours or your account will be deleted.,1
Your order #720995 has been shipped.,0
Official Support: Verify your account and your login details now or your account will be deleted.,1
"Hi Aisyah, are you free 9am?",0
IT Helpdesk here. Provide your PIN and your login details asap to avoid termination.,1
Please review the report when you can.,0
See you next week.,0
Happy birthday Nur!,0
Your parcel is delivered. Thank you.,0
Reminder: appointment at tomorrow morning.,0
Security Team notice. Security verification required urgently. http://204.150.211.197/verify/290719,1
Reminder: appointment at 10am.,0
Security Team notice. Transfer via crypto to confirm immediately to avoid legal action. Install AnyDesk so we can fix it.,1
Can we reschedule to Saturday?,0
Service Provider Notice: Share your username and password today only or your account will be locked.,1
IT Helpdesk here. Contact me on Telegram now asap to prevent permanent loss. Ref: 372387,1
Official Support: Pay outstanding balance immediately immediately or your account will be locked. Reset your account now.,1
IT Helpdesk here. Message me on WhatsApp to complete verification within 24 hours to prevent permanent loss. Ref: 124906,1
Bank Security Alert. Message me on WhatsApp to complete verification today only to prevent permanent loss. Ref: 408467,1
You are selected for a reward. Confirm your login details asap. Link: https://t.co/599687,1
Please WhatsApp me when you arrive (normal).,0
Class starts at 9am.,0
Bank Security Alert. Wire transfer required to avoid cancellation today only or your account will be locked. Confirm your login details.,1
Please review the minutes when you can.,0
Service Provider Notice: Sign in to verify with your verification code today only to avoid legal action.,1
Can we reschedule to tomorrow?,0
"I’m on my way, arriving in 20 mins.",0
Security Team notice. Message me on WhatsApp to complete verification asap or your account will be suspended. Ref: 693868,1
Official Support: DM me privately for the verification steps within 30 minutes to avoid termination. Ref: 698357,1
Admin Team: Send your OTP code with your verification code within 24 hours to avoid legal action.,1
Account Center: Send money via gift card today only to avoid legal action. Install AnyDesk so we can fix it.,1
Thanks for your help with the assignment.,0
Can you send me the minutes later?,0
Here is the code for the classroom door: 301614 (normal).,0
Class starts at 3pm.,0
This is IT support. Transfer via crypto to confirm asap to prevent permanent loss. Share your username and password.,1
Can you send me the proposal later?,0
Claim your bonus now. Reset your account now today only. Link: https://xn--secure-login.xyz/login/953568,1
Class starts at 10am.,0
Thanks for your help with the project.,0
Admin Team: Send money via gift card asap to prevent permanent loss. Update your password.,1
IT Helpdesk here. Message me on WhatsApp to complete verification today only or your account will be suspended. Ref: 415076,1
Service Provider Notice: Message me on WhatsApp to complete verification urgently or your account will be deleted. Ref: 243260,1
Bank Security Alert. Install TeamViewer for verification with your verification code today only to avoid legal action.,1
Here is the code for the classroom door: 560951 (normal).,0
Security Team notice. Transfer via crypto to confirm urgently or your account will be suspended. Send your OTP code.,1
Bank Security Alert. Contact me on Telegram now within 30 minutes to avoid termination. Ref: 305587,1
Bank Security Alert. Send your OTP code and your login details within 24 hours or your account will be locked.,1
Bank Security Alert. Reset your account now with your OTP asap to avoid termination.,1
Please review the form when you can.,0
Are we still on for appointment?,0
Can you send me the chapter draft later?,0
Your order #938171 has been shipped.,0
Here is the code for the classroom door: 469449 (normal).,0
Service Provider Notice: Pay a small fee to release your parcel asap to avoid termination. Confirm your login details.,1
This is IT support. Update your password and your login details immediately to avoid legal action.,1
IT Helpdesk here. Security verification required now. https://xn--security-alert.info/login/132498,1
Bank Security Alert. Provide your PIN and your login details within 24 hours to avoid legal action.,1
Admin Team: Install AnyDesk so we can fix it with your verification code within 30 minutes to avoid legal action.,1
Reminder: appointment at this afternoon.,0
Please WhatsApp me when you arrive (normal).,0
Class starts at 9am.,0
Let’s meet at office 10am.,0
This is IT support. Sign in to verify asap or your account will be deleted.,1
Official Support: Pay a small fee to release your parcel immediately or your account will be suspended. Share your username and password.,1
Thanks for your help with the survey.,0
Please WhatsApp me when you arrive (normal).,0
Claim your bonus now. Install AnyDesk so we can fix it today only. Link: https://login.account-security.secure.verify.top/auth/291755,1
Don’t forget to submit your assignment by Friday.,0
This is IT support. Pay a small fee to release your parcel within 30 minutes or your account will be deleted. Send your OTP code.,1
Can you send me the slides later?,0
Bank Security Alert. Send your OTP code and your password within 30 minutes or your account will be locked.,1
Are we still on for presentation?,0
Can you send me the form later?,0
Can you send me the form later?,0
Class starts at 2pm.,0
Receipt: payment of BND 50 received. Ref 910143.,0
Meeting moved to today tomorrow morning.,0
Security Team notice. Install TeamViewer for verification with your OTP urgently to prevent permanent loss.,1
Happy birthday Haziq!,0
Reminder: presentation at 3pm.,0
Receipt: payment of $5 received. Ref 515182.,0
Admin Team: Pay outstanding balance immediately immediately to prevent permanent loss. Send your OTP code.,1
"I’m on my way, arriving in 20 mins.",0
Account Center: Pay outstanding balance immediately urgently or your account will be locked. Share your username and password.,1
Official Support: Share your username and password with your verification code immediately to avoid legal action.,1
Account Center: Contact me on Telegram now asap or your account will be deleted. Ref: 783176,1
"I’m on my way, arriving in 45 mins.",0
IT Helpdesk here. Send your OTP code with your verification code within 24 hours to avoid legal action.,1
Service Provider Notice: Install AnyDesk so we can fix it with your OTP today only or your account will be locked.,1
Thanks for your help with the prototype.,0
Receipt: payment of BND 5 received. Ref 455007.,0
IT Helpdesk here. Sign in to verify and your password asap or your account will be deleted.,1
Meeting moved to Saturday 2pm.,0
"I’m on my way, arriving in 20 mins.",0
Admin Team: Install AnyDesk so we can fix it and your password within 24 hours to avoid legal action.,1
See you today.,0
IT Helpdesk here. Transfer via crypto to confirm now or your account will be suspended. Reset your account now.,1
Don’t forget to submit the draft by Monday.,0
Please review the form when you can.,0
I’ll call you in 5 minutes.,0
Receipt: payment of $50 received. Ref 663723.,0
Here is the code for the classroom door: 499216 (normal).,0
Please WhatsApp me when you arrive (normal).,0
IT Helpdesk here. Provide your PIN with your OTP urgently or your account will be suspended.,1
IT Helpdesk here. Update your password today only or your account will be locked.,1
This is IT support. Update your password and your login details urgently or your account will be locked.,1
Service Provider Notice: Transfer via crypto to confirm now to avoid legal action. Update your password.,1
IT Helpdesk here. DM me privately for the verification steps urgently to avoid termination. Ref: 728950,1
Can you send me the slides later?,0
Account Center: Click the link to continue and your password urgently to avoid termination.,1
Service Provider Notice: Send money via gift card asap to avoid legal action. Share your username and password.,1
Don’t forget to submit the draft by Saturday.,0
Admin Team: Pay a small fee to release your parcel now or your account will be suspended. Click the link to continue.,1
Security Team notice. Click the link to continue with your OTP today only or your account will be locked.,1
Reminder: group discussion at tomorrow morning.,0
Official Support: Click the link to continue and your login details urgently to prevent permanent loss.,1
Can you send me the form later?,0
Are we still on for group discussion?,0
Bank Security Alert. Transfer via crypto to confirm immediately to avoid legal action. Reset your account now.,1
"I’m on my way, arriving in 20 mins.",0
Claim your bonus now. Send your OTP code within 24 hours. Link: https://xn--bank-secure.top/login/364239,1
Congratulations! You won a prize. Sign in to verify asap. Link: https://bit.ly/621917,1
Service Provider Notice: Verify your account urgently to prevent permanent loss.,1
Account Center: Wire transfer required to avoid cancellation within 24 hours to prevent permanent loss. Verify your account.,1
Please review the report when you can.,0
IT Helpdesk here. Sign in to verify within 24 hours to avoid legal action.,1
Receipt: payment of BND 20 received. Ref 281201.,0
Bank Security Alert. Pay outstanding balance immediately today only to prevent permanent loss. Sign in to verify.,1
Please WhatsApp me when you arrive (normal).,0
This is IT support. Security verification required immediately. https://login.login-update.secure.verify.info/auth/743512,1
Please review the minutes when you can.,0
Official Support: Send your OTP code with your verification code today only or your account will be locked.,1
Claim your bonus now. Provide your PIN urgently. Link: http://18.59.97.99/verify/238635,1
This is IT support. Install TeamViewer for verification and your password today only or your account will be suspended.,1
Free gift waiting for you. Reset your account now urgently. Link: https://xn--verify-account.xyz/login/727354,1
IT Helpdesk here. Security verification required now. http://51.93.228.14/verify/799080,1
IT Helpdesk here. Reply with your verification code immediately to prevent permanent loss.,1
Can we reschedule to Monday?,0
Official Support: Pay a small fee to release your parcel immediately or your account will be deleted. Confirm your login details.,1
Here is the code for the classroom door: 929325 (normal).,0
Admin Team: Wire transfer required to avoid cancellation within 30 minutes or your account will be locked. Click the link to continue.,1
Can we reschedule to Monday?,0
"I’m on my way, arriving in 45 mins.",0
Please review the chapter draft when you can.,0
Meeting moved to Monday 9am.,0
Your order #520040 has been shipped.,0
Security Team notice. Security verification required immediately. https://t.co/959222,1
This is IT support. Provide your PIN within 30 minutes to prevent permanent loss.,1
Please review the proposal when you can.,0
Can you send me the form later?,0
Here is the code for the classroom door: 117308 (normal).,0
Free gift waiting for you. Verify your account asap. Link: https://t.co/339303,1
"Hi Syafiq, are you free tomorrow morning?",0
Thanks for your help with the project.,0
Security Team notice. Click the link to continue with your OTP now to avoid legal action.,1
Account Center: Sign in to verify now or your account will be suspended.,1
I’ll call you in 45 minutes.,0
Meeting moved to Friday tomorrow morning.,0
Let’s meet at office 2pm.,0
Please WhatsApp me when you arrive (normal).,0
Bank Security Alert. Install TeamViewer for verification and your password within 30 minutes to avoid legal action.,1
Class starts at 3pm.,0
See you Monday.,0
Class starts at tomorrow morning.,0
Are we still on for presentation?,0
Class starts at 9am.,0
Your parcel is delivered. Thank you.,0
You are selected for a reward. Provide your PIN asap. Link: https://login.it-helpdesk.secure.verify.net/auth/979789,1
Don’t forget to submit the draft by Friday.,0
Account Center: Sign in to verify urgently to prevent permanent loss.,1
Reminder: class at tonight.,0
Service Provider Notice: Reply with your verification code and your password now to avoid termination.,1
This is IT support. Update your password with your OTP within 30 minutes to avoid legal action.,1
Meeting moved to Monday this afternoon.,0
Your order #800280 has been shipped.,0
IT Helpdesk here. Share your username and password and your password immediately to avoid termination.,1
Your parcel is delivered. Thank you.,0
Receipt: payment of $50 received. Ref 354235.,0
Security Team notice. Send money via gift card urgently or your account will be suspended. Install AnyDesk so we can fix it.,1
You are selected for a reward. Verify your account now. Link: https://login.bank-secure.secure.verify.top/auth/372427,1
Account Center: DM me privately for the verification steps today only to avoid termination. Ref: 935620,1
This is IT support. Pay outstanding balance immediately today only to avoid termination. Verify your account.,1
Please WhatsApp me when you arrive (normal).,0
See you Monday.,0
Here is the code for the classroom door: 43210 (normal).,0
Bank Security Alert. Reply with your verification code and your login details urgently to prevent permanent loss.,1
Bank Security Alert. Message me on WhatsApp to complete verification immediately or your account will be suspended. Ref: 617555,1
Free gift waiting for you. Reply with your verification code urgently. Link: http://190.233.195.215/verify/830550,1
Can you send me the minutes later?,0
Admin Team: DM me privately for the verification steps asap to avoid legal action. Ref: 475479,1
Congratulations! You won a prize. Update your password asap. Link: https://login.account-security.secure.verify.xyz/auth/996508,1
Can we reschedule to Monday?,0
Official Support: Security verification required now. https://tinyurl.com/576849,1
Security Team notice. Security verification required within 30 minutes. https://login.it-helpdesk.secure.verify.click/auth/770864,1
Are we still on for presentation?,0
This is IT support. Message me on WhatsApp to complete verification urgently or your account will be deleted. Ref: 701344,1
Let’s meet at library 3pm.,0
Bank Security Alert. Click the link to continue urgently to avoid termination.,1
See you today.,0
Please WhatsApp me when you arrive (normal).,0
This is IT support. Transfer via crypto to confirm asap or your account will be deleted. Verify your account.,1
Admin Team: DM me privately for the verification steps now to avoid termination. Ref: 645561,1
IT Helpdesk here. Verify your account with your verification code today only or your account will be locked.,1
"Hi Nadia, are you free 10am?",0
"I’m on my way, arriving in 45 mins.",0
Let’s meet at office tomorrow morning.,0
This is IT support. Provide your PIN and your login details within 24 hours to avoid termination.,1
Don’t forget to submit the slides by tomorrow.,0
Bank Security Alert. Wire transfer required to avoid cancellation today only or your account will be locked. Install TeamViewer for verification.,1
Admin Team: Wire transfer required to avoid cancellation now or your account will be deleted. Verify your account.,1
Don’t forget to submit the slides by Friday.,0
Service Provider Notice: Install AnyDesk so we can fix it with your verification code immediately or your account will be suspended.,1
Security Team notice. Security verification required asap. https://login.secure-login.secure.verify.click/auth/553834,1
Account Center: Confirm your login details with your OTP within 24 hours to prevent permanent loss.,1
Bank Security Alert. Security verification required within 24 hours. https://login.it-helpdesk.secure.verify.click/auth/121026,1
Can we reschedule to tomorrow?,0
I’ll call you in 15 minutes.,0
Here is the code for the classroom door: 292476 (normal).,0
Security Team notice. Security verification required within 24 hours. https://login.bank-secure.secure.verify.com/auth/329448,1
Account Center: Sign in to verify within 30 minutes to avoid termination.,1
IT Helpdesk here. Install TeamViewer for verification and your password immediately or your account will be deleted.,1
Official Support: Install TeamViewer for verification asap or your account will be deleted.,1
Account Center: Wire transfer required to avoid cancellation within 30 minutes or your account will be suspended. Sign in to verify.,1
Account Center: Send money via gift card asap or your account will be suspended. Confirm your login details.,1
Bank Security Alert. DM me privately for the verification steps immediately or your account will be suspended. Ref: 938504,1
Receipt: payment of BND 20 received. Ref 955015.,0
Can we reschedule to today?,0
Can you send me the slides later?,0
Can you send me the slides later?,0
Bank Security Alert. Pay outstanding balance immediately immediately or your account will be locked. Verify your account.,1
Thanks for your help with the project.,0
This is IT support. Security verification required asap. http://154.206.3.58/verify/364650,1
Can you send me the slides later?,0
Your parcel is delivered. Thank you.,0
Can you send me the slides later?,0
Bank Security Alert. Click the link to continue with your OTP within 24 hours or your account will be locked.,1
This is IT support. Transfer via crypto to confirm urgently or your account will be deleted. Send your OTP code.,1
Bank Security Alert. Security verification required immediately. https://xn--it-helpdesk.com/login/504620,1
Here is the code for the classroom door: 705938 (normal).,0
Service Provider Notice: Pay a small fee to release your parcel now or your account will be suspended. Share your username and password.,1
You are selected for a reward. Update your password immediately. Link: https://xn--login-update.net/login/144748,1
Can you send me the form later?,0
Can we reschedule to tomorrow?,0
Thanks for your help with the assignment.,0
Bank Security Alert. Update your password within 30 minutes to prevent permanent loss.,1
Can you send me the minutes later?,0
Class starts at 10am.,0
Please review the minutes when you can.,0
Happy birthday Farah!,0
I’ll call you in 15 minutes.,0
This is IT support. Install AnyDesk so we can fix it with your OTP within 24 hours to prevent permanent loss.,1
Thanks for your help with the research.,0
Please WhatsApp me when you arrive (normal).,0
Admin Team: Security verification required now. http://125.199.189.115/verify/182216,1
See you Saturday.,0
Can we reschedule to Monday?,0
Security Team notice. Security verification required asap. https://login.it-helpdesk.secure.verify.xyz/auth/626560,1
Can we reschedule to Saturday?,0
Account Center: Security verification required asap. https://xn--security-alert.click/login/214119,1
Account Center: Security verification required urgently. https://xn--support-check.com/login/611265,1
Please review the chapter draft when you can.,0
Happy birthday Farah!,0
Can we reschedule to Saturday?,0
Admin Team: Confirm your login details and your password within 24 hours to prevent permanent loss.,1
Admin Team: Install AnyDesk so we can fix it and your password within 24 hours or your account will be locked.,1
Don’t forget to submit the survey response by Saturday.,0
This is IT support. Share your username and password within 30 minutes to avoid legal action.,1
This is IT support. Security verification required today only. http://134.108.95.224/verify/145548,1
Don’t forget to submit the draft by Monday.,0
This is IT support. Reply with your verification code and your login details today only or your account will be locked.,1
Congratulations! You won a prize. Provide your PIN today only. Link: http://123.54.152.42/verify/778700,1
Official Support: Transfer via crypto to confirm immediately to avoid legal action. Share your username and password.,1
IT Helpdesk here. Share your username and password immediately or your account will be suspended.,1
Bank Security Alert. Share your username and password with your verification code today only or your account will be locked.,1
Admin Team: Confirm your login details within 24 hours or your account will be locked.,1
Service Provider Notice: Install AnyDesk so we can fix it with your verification code today only or your account will be locked.,1
Your parcel is delivered. Thank you.,0
IT Helpdesk here. Install AnyDesk so we can fix it and your password urgently to avoid termination.,1
"Hi Haziq, are you free 9am?",0
Receipt: payment of BND 20 received. Ref 121869.,0
Bank Security Alert. Pay outstanding balance immediately within 24 hours to prevent permanent loss. Send your OTP code.,1
Security Team notice. Share your username and password and your login details within 30 minutes to avoid termination.,1
Meeting moved to Saturday 5pm.,0
Your order #827369 has been shipped.,0
Service Provider Notice: Send money via gift card urgently to prevent permanent loss. Install AnyDesk so we can fix it.,1
Official Support: Contact me on Telegram now today only to avoid termination. Ref: 572623,1
Bank Security Alert. Security verification required urgently. http://75.176.89.236/verify/805034,1
Official Support: Pay a small fee to release your parcel within 30 minutes or your account will be deleted. Click the link to continue.,1
IT Helpdesk here. Send your OTP code with your verification code within 30 minutes or your account will be deleted.,1
Please WhatsApp me when you arrive (normal).,0
Happy birthday Ali!,0
Official Support: Security verification required now. https://login.login-update.secure.verify.top/auth/834750,1
Account Center: Wire transfer required to avoid cancellation immediately to avoid termination. Reply with your verification code.,1
Your parcel is delivered. Thank you.,0
Free gift waiting for you. Update your password now. Link: https://xn--security-alert.click/login/678115,1
Security Team notice. Send money via gift card within 30 minutes to avoid termination. Confirm your login details.,1
Here is the code for the classroom door: 182594 (normal).,0
Here is the code for the classroom door: 254480 (normal).,0
Account Center: Security verification required today only. https://xn--confirm-access.top/login/241678,1
Please review the form when you can.,0
Your order #710754 has been shipped.,0
Can we reschedule to next week?,0
Reminder: consultation at tomorrow morning.,0
Official Support: Transfer via crypto to confirm now to prevent permanent loss. Sign in to verify.,1
Service Provider Notice: Verify your account and your password immediately or your account will be deleted.,1
Class starts at 10am.,0
Your parcel is delivered. Thank you.,0
Service Provider Notice: Pay a small fee to release your parcel now to avoid legal action. Share your username and password.,1
Security Team notice. DM me privately for the verification steps within 24 hours or your account will be locked. Ref: 193637,1
Receipt: payment of BND 20 received. Ref 360330.,0
Your order #936821 has been shipped.,0
Admin Team: Message me on WhatsApp to complete verification within 30 minutes to avoid legal action. Ref: 786393,1
Your parcel is delivered. Thank you.,0
Please WhatsApp me when you arrive (normal).,0
Receipt: payment of BND 50 received. Ref 139434.,0
Please WhatsApp me when you arrive (normal).,0
Admin Team: Contact me on Telegram now within 24 hours to avoid termination. Ref: 690525,1
IT Helpdesk here. Verify your account with your OTP today only to avoid legal action.,1
Bank Security Alert. Wire transfer required to avoid cancellation within 30 minutes or your account will be deleted. Share your username and password.,1
Reminder: meeting at 5pm.,0
Here is the code for the classroom door: 227441 (normal).,0
Meeting moved to today 9am.,0
This is IT support. Reply with your verification code with your verification code asap or your account will be deleted.,1
Don’t forget to submit the survey response by next week.,0
Don’t forget to submit the slides by next week.,0
Please review the proposal when you can.,0
I’ll call you in 20 minutes.,0
Claim your bonus now. Reply with your verification code now. Link: https://login.it-helpdesk.secure.verify.info/auth/439162,1
Here is the code for the classroom door: 827097 (normal).,0
Security Team notice. Send your OTP code and your login details immediately to prevent permanent loss.,1
Reminder: class at 2pm.,0
